anime_id,Name,Genres,Other name,Score,Type
43924,Xin Datou Er Zi He Xiao Tou Baba 3rd Season,Slice of Life,新大头儿子和小头爸爸 第三季,UNKNOWN,TV
43925,Xin Datou Er Zi He Xiao Tou Baba 4th Season,Slice of Life,新大头儿子和小头爸爸 第四季,UNKNOWN,TV
43926,Xin Datou Er Zi He Xiao Tou Baba 5th Season,Slice of Life,新大头儿子和小头爸爸第五季,UNKNOWN,TV
43927,Xin Datou Er Zi He Xiao Tou Baba 6th Season,Slice of Life,新大头儿子和小头爸爸第六季,UNKNOWN,TV
43928,Xin Datou Er Zi He Xiao Tou Baba 3: Eluosi Qiyu Ji,"Adventure, Comedy",新大头儿子和小头爸爸3：俄罗斯奇遇记,UNKNOWN,Movie
43929,Xin Datou Er Zi He Xiao Tou Baba 2: Yi Ri Chengcai,"Adventure, Comedy",新大头儿子和小头爸爸2一日成才,UNKNOWN,Movie
43930,Xin Datou Er Zi He Xiao Tou Baba: Mimi Jihua,"Adventure, Comedy",新大头儿子和小头爸爸之秘密计划,UNKNOWN,Movie
43931,Xin Datou Er Zi He Xiao Tou Baba: Fu Shu Song Ji,Slice of Life,新大头儿子和小头爸爸之福鼠送吉,UNKNOWN,Special
43933,Xin Datou Er Zi He Xiao Tou Baba: Ma Nian Xin Yuan,Slice of Life,新大头儿子和小头爸爸之马年新愿,UNKNOWN,Special
43934,Xin Datou Er Zi He Xiao Tou Baba: Chuxi - Baiye Cheng,Slice of Life,新大头儿子和小头爸爸 除夕·白夜城,UNKNOWN,Special
43935,Xin Datou Er Zi He Xiao Tou Baba: Nian De Weidao,Slice of Life,新大头儿子和小头爸爸之年的味道,UNKNOWN,Special
43937,Xin Datou Er Zi He Xiao Tou Baba: Caoyuan Qiyu,Adventure,新大头儿子和小头爸爸之草原奇遇,UNKNOWN,Special
43943,Kaixin Jie,Adventure,开心街,UNKNOWN,TV
43947,Hahajing Hua Yuan,"Comedy, Fantasy",哈哈镜花缘,UNKNOWN,TV
43948,Taiyang Zhizi,"Adventure, Fantasy, Sci-Fi",太阳之子,UNKNOWN,TV
43949,Gulu Xiansheng,Comedy,咕噜先生,UNKNOWN,TV
43958,Haier Xiongdi,Adventure,海尔兄弟,UNKNOWN,TV
43959,Haier Xiongdi Yuzhou Da Maoxian,Adventure,海尔兄弟宇宙大冒险,UNKNOWN,TV
43969,Kanojo mo Kanojo,"Comedy, Romance",カノジョも彼女,6.54,TV
43977,Kaixin Chaoren,Sci-Fi,开心超人,UNKNOWN,Movie
